Obj: densenet100bc_0 Min dist: 0.0, Number of components: 50, Number of neighbors: 3Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 534 (370 covered by given test set of type fuzz) silhouette_score: 0.7883003950119019, DBCV score: 0.7331379991427237, Percentage noisy inputs in test set: 7.84
Obj: densenet100bc_1 Min dist: 0.0, Number of components: 25, Number of neighbors: 3Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 566 (361 covered by given test set of type fuzz) silhouette_score: 0.7893362641334534, DBCV score: 0.7559920814824456, Percentage noisy inputs in test set: 7.72
Obj: densenet100bc_2 Min dist: 0.0, Number of components: 50, Number of neighbors: 3Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 555 (385 covered by given test set of type fuzz) silhouette_score: 0.7879061102867126, DBCV score: 0.7442562335601964, Percentage noisy inputs in test set: 7.73
Obj: densenet100bc_3 Min dist: 0.0, Number of components: 100, Number of neighbors: 3Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 544 (362 covered by given test set of type fuzz) silhouette_score: 0.8009108901023865, DBCV score: 0.7413239912022905, Percentage noisy inputs in test set: 7.13
Obj: densenet100bc_4 Min dist: 0.0, Number of components: 25, Number of neighbors: 3Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 552 (388 covered by given test set of type fuzz) silhouette_score: 0.7965585589408875, DBCV score: 0.7568141553566012, Percentage noisy inputs in test set: 7.47
Obj: densenet100bc_5 Min dist: 0.0, Number of components: 10, Number of neighbors: 3Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 630 (418 covered by given test set of type fuzz) silhouette_score: 0.8167217969894409, DBCV score: 0.7759053034878235, Percentage noisy inputs in test set: 6.34
Obj: densenet100bc_6 Min dist: 0.0, Number of components: 25, Number of neighbors: 3Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 603 (396 covered by given test set of type fuzz) silhouette_score: 0.7875651121139526, DBCV score: 0.7549988065134091, Percentage noisy inputs in test set: 8.13
Obj: densenet100bc_7 Min dist: 0.0, Number of components: 100, Number of neighbors: 3Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 581 (384 covered by given test set of type fuzz) silhouette_score: 0.7998037338256836, DBCV score: 0.756200798807555, Percentage noisy inputs in test set: 6.30
Obj: densenet100bc_8 Min dist: 0.0, Number of components: 25, Number of neighbors: 3Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 575 (390 covered by given test set of type fuzz) silhouette_score: 0.7803990840911865, DBCV score: 0.7288847988237306, Percentage noisy inputs in test set: 8.10
Obj: densenet100bc_9 Min dist: 0.0, Number of components: 25, Number of neighbors: 3Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 595 (379 covered by given test set of type fuzz) silhouette_score: 0.8033634424209595, DBCV score: 0.7623125129308648, Percentage noisy inputs in test set: 6.58
Obj: preresnet110_0 Min dist: 0.0, Number of components: 50, Number of neighbors: 3Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 665 (391 covered by given test set of type fuzz) silhouette_score: 0.7793845534324646, DBCV score: 0.7353797487034025, Percentage noisy inputs in test set: 5.61
Obj: preresnet110_1 Min dist: 0.0, Number of components: 25, Number of neighbors: 3Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 650 (386 covered by given test set of type fuzz) silhouette_score: 0.8086612224578857, DBCV score: 0.7758063854242504, Percentage noisy inputs in test set: 4.45
Obj: preresnet110_2 Min dist: 0.0, Number of components: 25, Number of neighbors: 3Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 653 (400 covered by given test set of type fuzz) silhouette_score: 0.8035711050033569, DBCV score: 0.750599794528515, Percentage noisy inputs in test set: 3.85
Obj: preresnet110_3 Min dist: 0.0, Number of components: 10, Number of neighbors: 3Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 566 (350 covered by given test set of type fuzz) silhouette_score: 0.7407076358795166, DBCV score: 0.7018494644550984, Percentage noisy inputs in test set: 4.44
Obj: preresnet110_4 Min dist: 0.0, Number of components: 25, Number of neighbors: 3Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 579 (374 covered by given test set of type fuzz) silhouette_score: 0.7746858596801758, DBCV score: 0.7215709362267609, Percentage noisy inputs in test set: 4.76
Obj: preresnet110_5 Min dist: 0.0, Number of components: 25, Number of neighbors: 3Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 575 (369 covered by given test set of type fuzz) silhouette_score: 0.7568970322608948, DBCV score: 0.7043352647709732, Percentage noisy inputs in test set: 4.43
Obj: preresnet110_6 Min dist: 0.0, Number of components: 25, Number of neighbors: 3Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 593 (382 covered by given test set of type fuzz) silhouette_score: 0.7876362204551697, DBCV score: 0.7516263771928902, Percentage noisy inputs in test set: 4.20
Obj: preresnet110_7 Min dist: 0.0, Number of components: 25, Number of neighbors: 3Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 618 (391 covered by given test set of type fuzz) silhouette_score: 0.7731333374977112, DBCV score: 0.7263899859158357, Percentage noisy inputs in test set: 5.44
Obj: preresnet110_8 Min dist: 0.0, Number of components: 25, Number of neighbors: 3Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 627 (383 covered by given test set of type fuzz) silhouette_score: 0.7694249153137207, DBCV score: 0.7354701420305305, Percentage noisy inputs in test set: 4.70
Obj: preresnet110_9 Min dist: 0.0, Number of components: 25, Number of neighbors: 3Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 629 (390 covered by given test set of type fuzz) silhouette_score: 0.8045055866241455, DBCV score: 0.7605723478371128, Percentage noisy inputs in test set: 3.92
Obj: preresnet20_0 Min dist: 0.0, Number of components: 10, Number of neighbors: 3Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 639 (319 covered by given test set of type fuzz) silhouette_score: 0.7740709185600281, DBCV score: 0.7106045464014421, Percentage noisy inputs in test set: 4.51
