Obj: densenet100bc_0 Min dist: 0.0, Number of components: 150, Number of neighbors: 2Epsilon: 2, Min sample size: 1, Min cluster size: 5Nb of cluster generated: 636 (415 covered by given test set of type gen) silhouette_score: 0.7526267170906067, DBCV score: 0.7104937983632391, Percentage noisy inputs in test set: 13.41
Obj: densenet100bc_1 Min dist: 0.0, Number of components: 100, Number of neighbors: 2Epsilon: 2, Min sample size: 1, Min cluster size: 5Nb of cluster generated: 651 (418 covered by given test set of type gen) silhouette_score: 0.7405245304107666, DBCV score: 0.7000336341138427, Percentage noisy inputs in test set: 13.14
Obj: densenet100bc_2 Min dist: 0.0, Number of components: 25, Number of neighbors: 2Epsilon: 2, Min sample size: 1, Min cluster size: 5Nb of cluster generated: 661 (435 covered by given test set of type gen) silhouette_score: 0.7423070669174194, DBCV score: 0.7211269606760947, Percentage noisy inputs in test set: 10.92
Obj: densenet100bc_3 Min dist: 0.0, Number of components: 100, Number of neighbors: 2Epsilon: 2, Min sample size: 1, Min cluster size: 5Nb of cluster generated: 628 (398 covered by given test set of type gen) silhouette_score: 0.7274225950241089, DBCV score: 0.7032603523332582, Percentage noisy inputs in test set: 14.56
Obj: densenet100bc_4 Min dist: 0.0, Number of components: 25, Number of neighbors: 2Epsilon: 2, Min sample size: 1, Min cluster size: 5Nb of cluster generated: 646 (417 covered by given test set of type gen) silhouette_score: 0.7411192655563354, DBCV score: 0.7303691447067605, Percentage noisy inputs in test set: 10.94
Obj: densenet100bc_5 Min dist: 0.0, Number of components: 100, Number of neighbors: 2Epsilon: 2, Min sample size: 1, Min cluster size: 5Nb of cluster generated: 658 (407 covered by given test set of type gen) silhouette_score: 0.7434424161911011, DBCV score: 0.699641588058386, Percentage noisy inputs in test set: 13.19
Obj: densenet100bc_6 Min dist: 0.0, Number of components: 10, Number of neighbors: 2Epsilon: 2, Min sample size: 1, Min cluster size: 5Nb of cluster generated: 636 (424 covered by given test set of type gen) silhouette_score: 0.7280097007751465, DBCV score: 0.6898237963761125, Percentage noisy inputs in test set: 9.13
Obj: densenet100bc_7 Min dist: 0.0, Number of components: 100, Number of neighbors: 2Epsilon: 2, Min sample size: 1, Min cluster size: 5Nb of cluster generated: 626 (425 covered by given test set of type gen) silhouette_score: 0.7651594877243042, DBCV score: 0.7228469162579135, Percentage noisy inputs in test set: 12.07
Obj: densenet100bc_8 Min dist: 0.0, Number of components: 10, Number of neighbors: 2Epsilon: 2, Min sample size: 1, Min cluster size: 5Nb of cluster generated: 695 (439 covered by given test set of type gen) silhouette_score: 0.7341115474700928, DBCV score: 0.7196624859951325, Percentage noisy inputs in test set: 9.80
Obj: densenet100bc_9 Min dist: 0.0, Number of components: 10, Number of neighbors: 2Epsilon: 2, Min sample size: 1, Min cluster size: 5Nb of cluster generated: 698 (458 covered by given test set of type gen) silhouette_score: 0.7483842372894287, DBCV score: 0.7324705152795068, Percentage noisy inputs in test set: 8.87
Obj: preresnet110_0 Min dist: 0.0, Number of components: 10, Number of neighbors: 2Epsilon: 2, Min sample size: 1, Min cluster size: 5Nb of cluster generated: 957 (511 covered by given test set of type gen) silhouette_score: 0.6445978283882141, DBCV score: 0.5992947225286676, Percentage noisy inputs in test set: 12.16
Obj: preresnet110_1 Min dist: 0.0, Number of components: 10, Number of neighbors: 2Epsilon: 2, Min sample size: 1, Min cluster size: 5Nb of cluster generated: 896 (486 covered by given test set of type gen) silhouette_score: 0.5958388447761536, DBCV score: 0.5397792118209959, Percentage noisy inputs in test set: 10.33
Obj: preresnet110_2 Min dist: 0.0, Number of components: 10, Number of neighbors: 2Epsilon: 2, Min sample size: 1, Min cluster size: 5Nb of cluster generated: 868 (463 covered by given test set of type gen) silhouette_score: 0.5838130712509155, DBCV score: 0.5296163384329343, Percentage noisy inputs in test set: 9.94
Obj: preresnet110_3 Min dist: 0.0, Number of components: 10, Number of neighbors: 2Epsilon: 2, Min sample size: 1, Min cluster size: 5Nb of cluster generated: 870 (456 covered by given test set of type gen) silhouette_score: 0.5458877086639404, DBCV score: 0.4887395096417702, Percentage noisy inputs in test set: 10.63
Obj: preresnet110_4 Min dist: 0.0, Number of components: 10, Number of neighbors: 2Epsilon: 2, Min sample size: 1, Min cluster size: 5Nb of cluster generated: 966 (507 covered by given test set of type gen) silhouette_score: 0.6537916660308838, DBCV score: 0.6131866203348012, Percentage noisy inputs in test set: 11.84
Obj: preresnet110_5 Min dist: 0.0, Number of components: 10, Number of neighbors: 2Epsilon: 2, Min sample size: 1, Min cluster size: 5Nb of cluster generated: 820 (454 covered by given test set of type gen) silhouette_score: 0.5763512253761292, DBCV score: 0.5295031434092253, Percentage noisy inputs in test set: 10.81
Obj: preresnet110_6 Min dist: 0.0, Number of components: 10, Number of neighbors: 2Epsilon: 2, Min sample size: 1, Min cluster size: 5Nb of cluster generated: 921 (475 covered by given test set of type gen) silhouette_score: 0.6025711297988892, DBCV score: 0.5601214232285726, Percentage noisy inputs in test set: 11.65
Obj: preresnet110_7 Min dist: 0.0, Number of components: 10, Number of neighbors: 2Epsilon: 2, Min sample size: 1, Min cluster size: 5Nb of cluster generated: 886 (472 covered by given test set of type gen) silhouette_score: 0.5860626697540283, DBCV score: 0.5609849903700787, Percentage noisy inputs in test set: 10.73
Obj: preresnet110_8 Min dist: 0.0, Number of components: 10, Number of neighbors: 2Epsilon: 2, Min sample size: 1, Min cluster size: 5Nb of cluster generated: 937 (511 covered by given test set of type gen) silhouette_score: 0.6153491139411926, DBCV score: 0.5986854759216292, Percentage noisy inputs in test set: 14.40
Obj: preresnet110_9 Min dist: 0.0, Number of components: 10, Number of neighbors: 2Epsilon: 2, Min sample size: 1, Min cluster size: 5Nb of cluster generated: 879 (481 covered by given test set of type gen) silhouette_score: 0.5620075464248657, DBCV score: 0.5160076524849091, Percentage noisy inputs in test set: 11.55
Obj: vgg19_0 Min dist: 0.0, Number of components: 10, Number of neighbors: 3Epsilon: 0.15, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 577 (379 covered by given test set of type gen) silhouette_score: 0.5723044872283936, DBCV score: 0.6116367149483756, Percentage noisy inputs in test set: 6.93
Obj: vgg19_1 Min dist: 0.0, Number of components: 10, Number of neighbors: 3Epsilon: 0.15, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 558 (368 covered by given test set of type gen) silhouette_score: 0.55986487865448, DBCV score: 0.6039685819508209, Percentage noisy inputs in test set: 7.06
