Obj: electra_0 Min dist: 0.0, Number of components: 25, Number of neighbors: 5Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 437 (177 covered by given test set of type gen) silhouette_score: 0.7479515075683594, DBCV score: 0.7560639727591221, Percentage noisy inputs in test set: 5.91
Obj: electra_1 Min dist: 0.0, Number of components: 100, Number of neighbors: 5Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 419 (185 covered by given test set of type gen) silhouette_score: 0.7793247103691101, DBCV score: 0.7643288020658747, Percentage noisy inputs in test set: 5.76
Obj: electra_2 Min dist: 0.0, Number of components: 50, Number of neighbors: 5Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 535 (211 covered by given test set of type gen) silhouette_score: 0.7726969122886658, DBCV score: 0.7724081682791923, Percentage noisy inputs in test set: 5.44
Obj: electra_3 Min dist: 0.0, Number of components: 150, Number of neighbors: 5Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 428 (182 covered by given test set of type gen) silhouette_score: 0.7690233588218689, DBCV score: 0.7787787336976741, Percentage noisy inputs in test set: 7.72
Obj: electra_4 Min dist: 0.0, Number of components: 150, Number of neighbors: 5Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 465 (185 covered by given test set of type gen) silhouette_score: 0.7375919222831726, DBCV score: 0.7469550409870487, Percentage noisy inputs in test set: 8.22
Obj: electra_5 Min dist: 0.0, Number of components: 150, Number of neighbors: 5Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 500 (192 covered by given test set of type gen) silhouette_score: 0.7675147652626038, DBCV score: 0.7575069121833838, Percentage noisy inputs in test set: 6.72
Obj: electra_6 Min dist: 0.0, Number of components: 150, Number of neighbors: 5Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 475 (198 covered by given test set of type gen) silhouette_score: 0.7760968208312988, DBCV score: 0.7888780391853029, Percentage noisy inputs in test set: 7.28
Obj: electra_7 Min dist: 0.0, Number of components: 150, Number of neighbors: 5Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 437 (176 covered by given test set of type gen) silhouette_score: 0.765658974647522, DBCV score: 0.7774897915482468, Percentage noisy inputs in test set: 8.14
Obj: electra_8 Min dist: 0.0, Number of components: 150, Number of neighbors: 5Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 524 (219 covered by given test set of type gen) silhouette_score: 0.7547065615653992, DBCV score: 0.7646782058090232, Percentage noisy inputs in test set: 7.20
Obj: electra_9 Min dist: 0.0, Number of components: 150, Number of neighbors: 5Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 445 (191 covered by given test set of type gen) silhouette_score: 0.7523559927940369, DBCV score: 0.7501155148633267, Percentage noisy inputs in test set: 7.23
Obj: distill_0 Min dist: 0.0, Number of components: 100, Number of neighbors: 5Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 532 (210 covered by given test set of type gen) silhouette_score: 0.8399060368537903, DBCV score: 0.8346910204777865, Percentage noisy inputs in test set: 6.43
Obj: distill_1 Min dist: 0.0, Number of components: 150, Number of neighbors: 5Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 624 (228 covered by given test set of type gen) silhouette_score: 0.8347523212432861, DBCV score: 0.8200908650821608, Percentage noisy inputs in test set: 5.72
Obj: distill_2 Min dist: 0.0, Number of components: 100, Number of neighbors: 5Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 628 (219 covered by given test set of type gen) silhouette_score: 0.8366321325302124, DBCV score: 0.826537355073987, Percentage noisy inputs in test set: 5.66
Obj: distill_3 Min dist: 0.0, Number of components: 150, Number of neighbors: 5Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 534 (212 covered by given test set of type gen) silhouette_score: 0.8459197878837585, DBCV score: 0.8390339430925982, Percentage noisy inputs in test set: 6.54
Obj: distill_4 Min dist: 0.0, Number of components: 100, Number of neighbors: 5Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 550 (210 covered by given test set of type gen) silhouette_score: 0.8288773894309998, DBCV score: 0.8252900877651099, Percentage noisy inputs in test set: 6.04
Obj: distill_5 Min dist: 0.0, Number of components: 50, Number of neighbors: 5Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 596 (235 covered by given test set of type gen) silhouette_score: 0.8359161019325256, DBCV score: 0.8257466160289986, Percentage noisy inputs in test set: 5.71
Obj: distill_6 Min dist: 0.0, Number of components: 150, Number of neighbors: 5Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 493 (207 covered by given test set of type gen) silhouette_score: 0.839398980140686, DBCV score: 0.841753436414468, Percentage noisy inputs in test set: 6.97
Obj: distill_7 Min dist: 0.0, Number of components: 150, Number of neighbors: 5Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 564 (249 covered by given test set of type gen) silhouette_score: 0.8514537811279297, DBCV score: 0.848196609708805, Percentage noisy inputs in test set: 5.59
Obj: distill_8 Min dist: 0.0, Number of components: 150, Number of neighbors: 5Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 558 (219 covered by given test set of type gen) silhouette_score: 0.8354167938232422, DBCV score: 0.8304967999290108, Percentage noisy inputs in test set: 6.01
Obj: distill_9 Min dist: 0.0, Number of components: 150, Number of neighbors: 5Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 527 (216 covered by given test set of type gen) silhouette_score: 0.8332127332687378, DBCV score: 0.8324959899964187, Percentage noisy inputs in test set: 7.17
Obj: bert_0 Min dist: 0.0, Number of components: 100, Number of neighbors: 5Epsilon: 0.25, Min sample size: 5, Min cluster size: 5Nb of cluster generated: 582 (216 covered by given test set of type gen) silhouette_score: 0.8280283808708191, DBCV score: 0.8317474017389609, Percentage noisy inputs in test set: 6.52
